Permutation #,ApacheHVAC File (ASP),Roof Area (m2),External Wall Area (m2),Window Area (m2),Floor Area (m2),Weather File,HDD (Base 18C),CDD (Base 18C),Annual Mean Humidity Ratio (kg/kg),Average Relative Humidity (%),External Wall Construction U Values (W/m2.K),External Window Construction U Values (W/m2.K),Roof Construction U Values (W/m2.K),Actual Infiltration Rate @ 5Pa (L/(s/m2.facade)),EUI (Total) (kWh/m²),EUI (Electricity) (kWh/m²),EUI (Gas) (kWh/m²),Interior lighting (kWh/m²),Space heating (gas) (kWh/m²),Space heating (elec) (kWh/m²),Space cooling (kWh/m²),Pumps (kWh/m²),Fans interior (kWh/m²),Heat Rejection (kWh/m²),DHW heating (gas) (kWh/m²),DHW heating (elec) (kWh/m²),Receptacle equipment (kWh/m²),Elevators escalators (kWh/m²),TEDI
1,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.1579,0.65,533.22,533.22,0,12.2,0,395.04,0,0,64.79,0,0,41.78,14.49,4.91,395.04
2,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.1579,0.65,519.59,519.59,0,12.2,0,382.87,0,0,63.35,0,0,41.78,14.49,4.91,382.87
3,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.1579,0.65,509.21,509.21,0,12.2,0,373.59,0,0,62.24,0,0,41.78,14.49,4.91,373.59
4,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,4.8655,0.1579,0.65,506.1,506.1,0,12.2,0,370.78,0,0,61.93,0,0,41.78,14.49,4.91,370.78
5,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,4.8655,0.1579,0.65,501.93,501.93,0,12.2,0,367.05,0,0,61.49,0,0,41.78,14.49,4.91,367.05
6,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,4.8655,0.1579,0.65,496.7,496.7,0,12.2,0,362.39,0,0,60.93,0,0,41.78,14.49,4.91,362.39
7,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,4.8655,0.1579,0.65,492.09,492.09,0,12.2,0,358.28,0,0,60.42,0,0,41.78,14.49,4.91,358.28
8,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.1353,0.65,530.83,530.83,0,12.2,0,392.88,0,0,64.56,0,0,41.78,14.49,4.91,392.88
9,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.1353,0.65,517.38,517.38,0,12.2,0,380.88,0,0,63.11,0,0,41.78,14.49,4.91,380.88
10,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.1353,0.65,507.1,507.1,0,12.2,0,371.7,0,0,62.01,0,0,41.78,14.49,4.91,371.7
11,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,4.8655,0.1353,0.65,504.07,504.07,0,12.2,0,369,0,0,61.7,0,0,41.78,14.49,4.91,369
12,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,4.8655,0.1353,0.65,499.98,499.98,0,12.2,0,365.34,0,0,61.26,0,0,41.78,14.49,4.91,365.34
13,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,4.8655,0.1353,0.65,494.58,494.58,0,12.2,0,360.5,0,0,60.7,0,0,41.78,14.49,4.91,360.5
14,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,4.8655,0.1353,0.65,489.77,489.77,0,12.2,0,356.2,0,0,60.19,0,0,41.78,14.49,4.91,356.2
15,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.1183,0.65,529.3,529.3,0,12.2,0,391.52,0,0,64.39,0,0,41.78,14.49,4.91,391.52
16,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.1183,0.65,515.75,515.75,0,12.2,0,379.43,0,0,62.94,0,0,41.78,14.49,4.91,379.43
17,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.1183,0.65,505.35,505.35,0,12.2,0,370.13,0,0,61.84,0,0,41.78,14.49,4.91,370.13
18,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,4.8655,0.1183,0.65,502.5,502.5,0,12.2,0,367.6,0,0,61.52,0,0,41.78,14.49,4.91,367.6
19,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,4.8655,0.1183,0.65,498.44,498.44,0,12.2,0,363.97,0,0,61.08,0,0,41.78,14.49,4.91,363.97
20,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,4.8655,0.1183,0.65,493.05,493.05,0,12.2,0,359.15,0,0,60.52,0,0,41.78,14.49,4.91,359.15
21,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,4.8655,0.1183,0.65,488.21,488.21,0,12.2,0,354.82,0,0,60.01,0,0,41.78,14.49,4.91,354.82
22,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.1076,0.65,528.19,528.19,0,12.2,0,390.53,0,0,64.28,0,0,41.78,14.49,4.91,390.53
23,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.1076,0.65,514.55,514.55,0,12.2,0,378.34,0,0,62.83,0,0,41.78,14.49,4.91,378.34
24,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.1076,0.65,504.37,504.37,0,12.2,0,369.26,0,0,61.73,0,0,41.78,14.49,4.91,369.26
25,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,4.8655,0.1076,0.65,501.48,501.48,0,12.2,0,366.69,0,0,61.41,0,0,41.78,14.49,4.91,366.69
26,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,4.8655,0.1076,0.65,497.23,497.23,0,12.2,0,362.88,0,0,60.97,0,0,41.78,14.49,4.91,362.88
27,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,4.8655,0.1076,0.65,491.82,491.82,0,12.2,0,358.03,0,0,60.41,0,0,41.78,14.49,4.91,358.03
28,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,4.8655,0.1076,0.65,486.89,486.89,0,12.2,0,353.61,0,0,59.9,0,0,41.78,14.49,4.91,353.61
29,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.0931,0.65,527.11,527.11,0,12.2,0,389.6,0,0,64.13,0,0,41.78,14.49,4.91,389.6
30,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.0931,0.65,513.3,513.3,0,12.2,0,377.24,0,0,62.68,0,0,41.78,14.49,4.91,377.24
31,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.0931,0.65,502.97,502.97,0,12.2,0,368.01,0,0,61.58,0,0,41.78,14.49,4.91,368.01
32,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,4.8655,0.0931,0.65,499.91,499.91,0,12.2,0,365.27,0,0,61.26,0,0,41.78,14.49,4.91,365.27
33,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,4.8655,0.0931,0.65,495.88,495.88,0,12.2,0,361.68,0,0,60.82,0,0,41.78,14.49,4.91,361.68
34,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,4.8655,0.0931,0.65,490.6,490.6,0,12.2,0,356.96,0,0,60.26,0,0,41.78,14.49,4.91,356.96
35,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,4.8655,0.0931,0.65,485.69,485.69,0,12.2,0,352.56,0,0,59.75,0,0,41.78,14.49,4.91,352.56
36,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.07,0.65,524.35,524.35,0,12.2,0,387.08,0,0,63.89,0,0,41.78,14.49,4.91,387.08
37,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.07,0.65,510.95,510.95,0,12.2,0,375.14,0,0,62.43,0,0,41.78,14.49,4.91,375.14
38,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.07,0.65,500.96,500.96,0,12.2,0,366.25,0,0,61.33,0,0,41.78,14.49,4.91,366.25
39,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,4.8655,0.07,0.65,497.74,497.74,0,12.2,0,363.34,0,0,61.01,0,0,41.78,14.49,4.91,363.34
40,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,4.8655,0.07,0.65,493.48,493.48,0,12.2,0,359.53,0,0,60.57,0,0,41.78,14.49,4.91,359.53
41,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,4.8655,0.07,0.65,488.05,488.05,0,12.2,0,354.66,0,0,60.01,0,0,41.78,14.49,4.91,354.66
42,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,4.8655,0.07,0.65,483.36,483.36,0,12.2,0,350.48,0,0,59.5,0,0,41.78,14.49,4.91,350.48
43,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.0563,0.65,523.55,523.55,0,12.2,0,386.43,0,0,63.73,0,0,41.78,14.49,4.91,386.43
44,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.0563,0.65,509.44,509.44,0,12.2,0,373.78,0,0,62.28,0,0,41.78,14.49,4.91,373.78
45,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.0563,0.65,499.31,499.31,0,12.2,0,364.75,0,0,61.17,0,0,41.78,14.49,4.91,364.75
46,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,4.8655,0.0563,0.65,496.25,496.25,0,12.2,0,362.01,0,0,60.86,0,0,41.78,14.49,4.91,362.01
47,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,4.8655,0.0563,0.65,491.92,491.92,0,12.2,0,358.12,0,0,60.42,0,0,41.78,14.49,4.91,358.12
48,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,4.8655,0.0563,0.65,486.7,486.7,0,12.2,0,353.46,0,0,59.86,0,0,41.78,14.49,4.91,353.46
49,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,4.8655,0.0563,0.65,481.79,481.79,0,12.2,0,349.06,0,0,59.34,0,0,41.78,14.49,4.91,349.06
50,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,2.0935,0.1579,0.65,428.63,428.63,0,12.2,0,301.68,0,0,53.57,0,0,41.78,14.49,4.91,301.68
51,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,2.0935,0.1579,0.65,414.2,414.2,0,12.2,0,288.74,0,0,52.08,0,0,41.78,14.49,4.91,288.74
52,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,2.0935,0.1579,0.65,403.69,403.69,0,12.2,0,279.37,0,0,50.94,0,0,41.78,14.49,4.91,279.37
53,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,2.0935,0.1579,0.65,400.62,400.62,0,12.2,0,276.62,0,0,50.62,0,0,41.78,14.49,4.91,276.62
54,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,2.0935,0.1579,0.65,396.4,396.4,0,12.2,0,272.85,0,0,50.16,0,0,41.78,14.49,4.91,272.85
55,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,2.0935,0.1579,0.65,390.87,390.87,0,12.2,0,267.9,0,0,49.58,0,0,41.78,14.49,4.91,267.9
56,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,2.0935,0.1579,0.65,385.86,385.86,0,12.2,0,263.42,0,0,49.06,0,0,41.78,14.49,4.91,263.42
57,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,2.0935,0.1353,0.65,426.29,426.29,0,12.2,0,299.57,0,0,53.34,0,0,41.78,14.49,4.91,299.57
58,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,2.0935,0.1353,0.65,411.97,411.97,0,12.2,0,286.74,0,0,51.84,0,0,41.78,14.49,4.91,286.74
59,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,2.0935,0.1353,0.65,401.53,401.53,0,12.2,0,277.44,0,0,50.7,0,0,41.78,14.49,4.91,277.44
60,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,2.0935,0.1353,0.65,398.32,398.32,0,12.2,0,274.56,0,0,50.38,0,0,41.78,14.49,4.91,274.56
61,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,2.0935,0.1353,0.65,394.08,394.08,0,12.2,0,270.78,0,0,49.92,0,0,41.78,14.49,4.91,270.78
62,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,2.0935,0.1353,0.65,388.66,388.66,0,12.2,0,265.93,0,0,49.34,0,0,41.78,14.49,4.91,265.93
63,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,2.0935,0.1353,0.65,383.52,383.52,0,12.2,0,261.32,0,0,48.82,0,0,41.78,14.49,4.91,261.32
64,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,2.0935,0.1183,0.65,424.75,424.75,0,12.2,0,298.21,0,0,53.16,0,0,41.78,14.49,4.91,298.21
65,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,2.0935,0.1183,0.65,410.4,410.4,0,12.2,0,285.35,0,0,51.66,0,0,41.78,14.49,4.91,285.35
66,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,2.0935,0.1183,0.65,399.76,399.76,0,12.2,0,275.85,0,0,50.52,0,0,41.78,14.49,4.91,275.85
67,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,2.0935,0.1183,0.65,396.58,396.58,0,12.2,0,273,0,0,50.2,0,0,41.78,14.49,4.91,273
68,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,2.0935,0.1183,0.65,392.45,392.45,0,12.2,0,269.33,0,0,49.74,0,0,41.78,14.49,4.91,269.33
69,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,2.0935,0.1183,0.65,386.87,386.87,0,12.2,0,264.33,0,0,49.16,0,0,41.78,14.49,4.91,264.33
70,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,2.0935,0.1183,0.65,381.86,381.86,0,12.2,0,259.84,0,0,48.64,0,0,41.78,14.49,4.91,259.84
71,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,2.0935,0.1076,0.65,423.64,423.64,0,12.2,0,297.22,0,0,53.04,0,0,41.78,14.49,4.91,297.22
72,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,2.0935,0.1076,0.65,409.4,409.4,0,12.2,0,284.48,0,0,51.55,0,0,41.78,14.49,4.91,284.48
73,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,2.0935,0.1076,0.65,398.68,398.68,0,12.2,0,274.89,0,0,50.41,0,0,41.78,14.49,4.91,274.89
74,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,2.0935,0.1076,0.65,395.45,395.45,0,12.2,0,271.98,0,0,50.08,0,0,41.78,14.49,4.91,271.98
75,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,2.0935,0.1076,0.65,391.17,391.17,0,12.2,0,268.16,0,0,49.63,0,0,41.78,14.49,4.91,268.16
76,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,2.0935,0.1076,0.65,385.84,385.84,0,12.2,0,263.41,0,0,49.05,0,0,41.78,14.49,4.91,263.41
77,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,2.0935,0.1076,0.65,380.85,380.85,0,12.2,0,258.94,0,0,48.52,0,0,41.78,14.49,4.91,258.94
78,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,2.0935,0.0931,0.65,422.2,422.2,0,12.2,0,295.93,0,0,52.89,0,0,41.78,14.49,4.91,295.93
79,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,2.0935,0.0931,0.65,407.93,407.93,0,12.2,0,283.16,0,0,51.39,0,0,41.78,14.49,4.91,283.16
80,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,2.0935,0.0931,0.65,397.08,397.08,0,12.2,0,273.45,0,0,50.25,0,0,41.78,14.49,4.91,273.45
81,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,2.0935,0.0931,0.65,394.02,394.02,0,12.2,0,270.71,0,0,49.93,0,0,41.78,14.49,4.91,270.71
82,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,2.0935,0.0931,0.65,389.86,389.86,0,12.2,0,267.01,0,0,49.47,0,0,41.78,14.49,4.91,267.01
83,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,2.0935,0.0931,0.65,384.33,384.33,0,12.2,0,262.06,0,0,48.89,0,0,41.78,14.49,4.91,262.06
84,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,2.0935,0.0931,0.65,379.49,379.49,0,12.2,0,257.74,0,0,48.37,0,0,41.78,14.49,4.91,257.74
85,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,2.0935,0.07,0.65,419.81,419.81,0,12.2,0,293.79,0,0,52.64,0,0,41.78,14.49,4.91,293.79
86,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,2.0935,0.07,0.65,405.66,405.66,0,12.2,0,281.13,0,0,51.14,0,0,41.78,14.49,4.91,281.13
87,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,2.0935,0.07,0.65,394.88,394.88,0,12.2,0,271.49,0,0,50,0,0,41.78,14.49,4.91,271.49
88,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,2.0935,0.07,0.65,391.76,391.76,0,12.2,0,268.7,0,0,49.68,0,0,41.78,14.49,4.91,268.7
89,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,2.0935,0.07,0.65,387.49,387.49,0,12.2,0,264.89,0,0,49.22,0,0,41.78,14.49,4.91,264.89
90,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,2.0935,0.07,0.65,382.05,382.05,0,12.2,0,260.03,0,0,48.64,0,0,41.78,14.49,4.91,260.03
91,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,2.0935,0.07,0.65,377.01,377.01,0,12.2,0,255.52,0,0,48.11,0,0,41.78,14.49,4.91,255.52
92,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,2.0935,0.0563,0.65,418.36,418.36,0,12.2,0,292.49,0,0,52.48,0,0,41.78,14.49,4.91,292.49
93,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,2.0935,0.0563,0.65,404.31,404.31,0,12.2,0,279.95,0,0,50.98,0,0,41.78,14.49,4.91,279.95
94,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,2.0935,0.0563,0.65,393.41,393.41,0,12.2,0,270.18,0,0,49.84,0,0,41.78,14.49,4.91,270.18
